,SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,p_churn
6301,-0.4490829073213028,-0.43305326527339266,-1.4863719246748153,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.055179916
6096,-0.4490829073213028,1.5951655854338533,-1.4863719246748153,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0034280573
1951,2.2267603235331674,0.5810561600802303,0.2016891234760533,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14798358
3432,-0.4490829073213028,-0.3113601342309579,0.3009868321908103,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33406267
4998,-0.4490829073213028,-1.244340805556291,0.3340860684290626,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.61622477
4899,-0.4490829073213028,-0.3519245112451028,-0.32789865633598386,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.15009251
142,-0.4490829073213028,-1.2037764285421462,1.1284677381471184,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6386025
3643,-0.4490829073213028,-0.9603901664572766,-0.32789865633598386,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1684239
4986,-0.4490829073213028,1.5951655854338533,-1.3208757434835536,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.006648789
2838,-0.4490829073213028,0.702749291122665,-1.453272688436563,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.009153377
1830,-0.4490829073213028,-1.244340805556291,-0.6919902549567595,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.19552116
4575,-0.4490829073213028,1.5951655854338533,0.3009868321908103,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.048732646
2949,-0.4490829073213028,-0.9198257894431316,-0.6588910187185071,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.20480834
6398,-0.4490829073213028,0.3376698979953608,0.5326814858585766,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.2659905
1063,-0.4490829073213028,0.013154881882201465,0.8636738482410998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.38659784
5964,-0.4490829073213028,-0.8386970354148419,-1.5194711609130676,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12489345
6026,2.2267603235331674,-1.2849051825704358,0.9629715569558568,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.661569
3875,-0.4490829073213028,-0.9198257894431316,-0.32789865633598386,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.316619
4653,-0.4490829073213028,-0.47361764228753755,-0.6588910187185071,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12006891
6647,-0.4490829073213028,1.4329080773772735,-1.3208757434835536,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.004171371
6652,-0.4490829073213028,-0.02740949513194345,0.6981776670498382,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18726133
2302,-0.4490829073213028,1.0272643072358245,-0.16240247514472228,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.05340875
2426,2.2267603235331674,0.702749291122665,0.5988799583350812,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.224428
4528,-0.4490829073213028,-1.2849051825704358,-1.4863719246748153,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.18794164
4831,-0.4490829073213028,0.4593630290377956,-1.4863719246748153,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.054404136
4946,-0.4490829073213028,1.3112149463348388,-1.5194711609130676,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.009590524
4593,-0.4490829073213028,0.6216205370943753,0.3340860684290626,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.19846737
6976,-0.4490829073213028,0.8650067991792447,0.7312769032880905,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14696975
7041,2.2267603235331674,-0.8386970354148419,1.1284677381471184,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.60002077
1998,2.2267603235331674,1.5951655854338533,1.4263608642913892,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.15736309
1386,2.2267603235331674,-1.2849051825704358,0.4664830133820719,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.64311004
146,-0.4490829073213028,-0.43305326527339266,-0.16240247514472228,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.23632517
3856,-0.4490829073213028,1.3517793233489839,0.7974753757645952,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.09398271
1005,-0.4490829073213028,-1.2849051825704358,-0.6588910187185071,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5194874
2672,-0.4490829073213028,-1.2037764285421462,-1.5194711609130676,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1763566
2553,-0.4490829073213028,0.8650067991792447,-0.16240247514472228,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.033541866
1291,-0.4490829073213028,1.0678286842499694,1.0291700294323614,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.15386821
6376,-0.4490829073213028,1.3517793233489839,0.8305746120028474,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.048443954
2089,-0.4490829073213028,1.3517793233489839,1.3270631555766323,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06537489
4571,-0.4490829073213028,0.8244424221650999,0.3009868321908103,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.1567942
2292,-0.4490829073213028,1.3112149463348388,1.29396391933838,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0409321
2702,-0.4490829073213028,-1.2849051825704358,-0.6919902549567595,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.41549054
4669,2.2267603235331674,-0.7981326584006969,1.393261628053137,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6775651
2604,-0.4490829073213028,-1.244340805556291,0.4995822496203242,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.67236894
3909,-0.4490829073213028,1.189521815292404,1.6249562817209033,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09748468
4421,-0.4490829073213028,0.3376698979953608,1.1284677381471184,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.20194697
4846,-0.4490829073213028,1.3517793233489839,1.2608646831001278,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.12547147
6475,-0.4490829073213028,0.053719258896346385,0.4995822496203242,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.24383077
3725,-0.4490829073213028,0.8244424221650999,0.6981776670498382,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.14081086
5877,-0.4490829073213028,0.5404917830660854,-0.9898833811010304,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.052815247
1030,-0.4490829073213028,0.13484801292463622,0.4664830133820719,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.27602693
5164,-0.4490829073213028,-0.23023138020266803,0.13549065099954866,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.300833
3793,-0.4490829073213028,-1.2849051825704358,-1.4863719246748153,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.15007381
6601,-0.4490829073213028,1.5951655854338533,1.5918570454826508,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.05801814
2804,2.2267603235331674,0.74331366813681,0.4995822496203242,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.13574475
6632,-0.4490829073213028,-0.270795757216813,0.16858988723780097,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.28138515
1132,2.2267603235331674,-0.9603901664572766,-1.4863719246748153,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.20256798
6131,-0.4490829073213028,1.4329080773772735,0.5326814858585766,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08027566
1907,-0.4490829073213028,-1.2849051825704358,-1.4863719246748153,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25408864
2766,2.2267603235331674,1.5951655854338533,1.3601623918148846,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.14680697
2813,-0.4490829073213028,1.270650569320694,0.5326814858585766,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.026092643
672,-0.4490829073213028,1.4734724543914186,1.3601623918148846,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.077684686
2994,-0.4490829073213028,-0.14910262617437822,0.3340860684290626,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.23300104
3790,-0.4490829073213028,1.5951655854338533,-1.2877765072453013,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0073410165
1974,2.2267603235331674,-0.7981326584006969,1.0953685019088661,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.58385515
3415,-0.4490829073213028,0.25654114396707095,-0.1955017113829746,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.13378218
2433,2.2267603235331674,-0.9198257894431316,0.8967730844793521,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.63957167
6123,2.2267603235331674,1.5546012084197083,1.0291700294323614,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1454352
6591,2.2267603235331674,-0.8792614124289867,0.4664830133820719,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5357425
1799,-0.4490829073213028,-0.6358751503441172,0.003093706046539352,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.27383083
135,-0.4490829073213028,0.9461355532075346,0.8305746120028474,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.16445468
903,-0.4490829073213028,-1.1632120515280011,0.3009868321908103,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6280079
87,-0.4490829073213028,-0.8386970354148419,0.5657807220968288,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5251576
5636,-0.4490829073213028,-0.757568281386552,1.3601623918148846,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.67630947
3003,2.2267603235331674,-0.43305326527339266,0.6650784308115858,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.50027966
5842,-0.4490829073213028,1.5546012084197083,1.3270631555766323,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1499748
4183,-0.4490829073213028,-1.1226476745138563,-1.155379562292292,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27144256
3491,-0.4490829073213028,0.6621849141085202,-0.16240247514472228,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.089510836
726,-0.4490829073213028,-1.2849051825704358,0.3340860684290626,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6189549
5759,-0.4490829073213028,1.230086192306549,0.5657807220968288,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.115174204
5066,-0.4490829073213028,-0.9198257894431316,-0.6588910187185071,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25007886
3196,-0.4490829073213028,-1.2037764285421462,-0.39409712881248854,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3984563
3756,-0.4490829073213028,0.6216205370943753,0.16858988723780097,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16655113
3820,-0.4490829073213028,0.49992740605194047,0.3671853046673149,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.20330994
1662,-0.4490829073213028,0.41879865202365063,-1.2877765072453013,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.020012232
6940,-0.4490829073213028,1.1083930612641142,0.003093706046539352,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.028879097
5653,-0.4490829073213028,0.013154881882201465,1.0291700294323614,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.40007165
5373,-0.4490829073213028,1.3112149463348388,1.0291700294323614,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.046133816
4448,-0.4490829073213028,1.3517793233489839,0.069292178523044,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07064479
6446,-0.4490829073213028,0.41879865202365063,0.3340860684290626,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.18708053
4407,-0.4490829073213028,0.7838780451509549,-0.8574864361480211,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1167053
4137,-0.4490829073213028,-0.6764395273582622,0.3340860684290626,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5211952
5081,2.2267603235331674,-1.1632120515280011,0.4995822496203242,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.66333175
5589,-0.4490829073213028,0.5404917830660854,0.2016891234760533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09423
3354,-0.4490829073213028,1.3517793233489839,-0.12930323890646994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06114425
6388,-0.4490829073213028,-1.1632120515280011,-1.4863719246748153,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.20438787
1194,-0.4490829073213028,-0.5547463963158273,0.6319791945733335,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.40387958
5769,-0.4490829073213028,-0.43305326527339266,-1.4863719246748153,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.01060956
6184,-0.4490829073213028,-1.2849051825704358,-1.453272688436563,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.18195653
6252,2.2267603235331674,0.74331366813681,1.0953685019088661,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2589193
4597,-0.4490829073213028,1.5140368314055634,0.7643761395263428,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.09337353
3174,-0.4490829073213028,-1.2849051825704358,0.4333837771438196,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6508708
5976,-0.4490829073213028,-0.47361764228753755,1.3270631555766323,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6031091
4445,-0.4490829073213028,-0.9198257894431316,-1.4863719246748153,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03283506
2207,-0.4490829073213028,-1.2849051825704358,-1.5194711609130676,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.08584029
5531,-0.4490829073213028,1.5951655854338533,-1.3208757434835536,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00781448
2425,-0.4490829073213028,1.5546012084197083,0.9298723207176044,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12032924
3871,-0.4490829073213028,-0.10853824916023329,0.9629715569558568,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3474465
192,-0.4490829073213028,1.230086192306549,1.4594601005296417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08585394
4677,-0.4490829073213028,-1.2849051825704358,0.3340860684290626,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6724515
4797,-0.4490829073213028,1.5140368314055634,0.9629715569558568,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.01998301
1377,-0.4490829073213028,-1.2849051825704358,0.5657807220968288,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.61489475
5580,-0.4490829073213028,-0.5141820193016825,1.3601623918148846,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4247889
4500,-0.4490829073213028,-0.757568281386552,0.069292178523044,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.559481
6867,-0.4490829073213028,-0.3924888882592477,0.8636738482410998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.409384
5089,-0.4490829073213028,0.013154881882201465,1.4263608642913892,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.46317023
5700,-0.4490829073213028,0.3376698979953608,0.3009868321908103,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.20836149
1125,-0.4490829073213028,1.230086192306549,-1.5194711609130676,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.005683878
1216,-0.4490829073213028,-1.0009545434714215,0.3340860684290626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6173569
36,-0.4490829073213028,1.5951655854338533,-1.453272688436563,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.008943933
3598,-0.4490829073213028,0.9055711761933897,-1.4863719246748153,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0046684844
6110,-0.4490829073213028,1.0272643072358245,1.4594601005296417,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25405654
5760,-0.4490829073213028,1.1489574382782592,1.3601623918148846,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.18818505
3902,2.2267603235331674,-1.0009545434714215,1.1615669743853707,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7087616
2761,2.2267603235331674,-1.1226476745138563,0.5988799583350812,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.70009154
4271,-0.4490829073213028,-1.1226476745138563,-0.46029560128899316,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.47657776
448,-0.4490829073213028,1.3923437003631287,1.5256585730061463,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.1507017
5494,-0.4490829073213028,-0.47361764228753755,-1.4863719246748153,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.04493093
2814,-0.4490829073213028,1.5546012084197083,-1.453272688436563,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0032242704
1645,-0.4490829073213028,-0.3113601342309579,-0.32789865633598386,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14619163
2637,-0.4490829073213028,1.5951655854338533,0.8305746120028474,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.015919019
5322,-0.4490829073213028,0.21597676695292606,0.4995822496203242,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.24181995
4942,2.2267603235331674,-1.2849051825704358,0.6650784308115858,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6891695
4818,-0.4490829073213028,0.25654114396707095,-1.3208757434835536,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.026016368
5472,-0.4490829073213028,0.5404917830660854,-1.155379562292292,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.054807536
5751,2.2267603235331674,0.6216205370943753,-1.155379562292292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027201954
3991,-0.4490829073213028,1.3923437003631287,1.492559336767894,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.19049332
5568,-0.4490829073213028,-0.8386970354148419,0.6650784308115858,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5288322
4802,2.2267603235331674,1.4734724543914186,1.3270631555766323,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16528551
5679,-0.4490829073213028,-1.0415189204855664,0.6650784308115858,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5643418
526,-0.4490829073213028,-0.717003904372407,-1.5194711609130676,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.019452296
5213,-0.4490829073213028,-0.18966700318852311,-0.3609978925742362,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.09771966
2226,2.2267603235331674,0.3376698979953608,1.5918570454826508,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.49299833
6524,-0.4490829073213028,0.3376698979953608,-1.4863719246748153,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0093519315
3883,-0.4490829073213028,-0.9603901664572766,0.5326814858585766,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4902589
1948,-0.4490829073213028,0.5810561600802303,0.8305746120028474,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.19721243
4578,-0.4490829073213028,-1.244340805556291,-1.4863719246748153,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.24093683
1635,-0.4490829073213028,-0.6358751503441172,0.7643761395263428,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.32625794
6212,-0.4490829073213028,1.189521815292404,-0.2947994200977316,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.041863922
6249,-0.4490829073213028,0.4593630290377956,1.0291700294323614,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.17576909
4891,-0.4490829073213028,1.230086192306549,-1.4863719246748153,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0067238137
5559,-0.4490829073213028,1.5951655854338533,0.7312769032880905,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.103693195
3273,-0.4490829073213028,-0.6764395273582622,-0.9567841448627781,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14902364
3242,-0.4490829073213028,-1.0820832974997114,0.7974753757645952,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.70412844
4204,-0.4490829073213028,1.4329080773772735,0.7643761395263428,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.038710117
3992,-0.4490829073213028,1.5951655854338533,0.8967730844793521,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.06092836
4828,-0.4490829073213028,0.13484801292463622,0.7643761395263428,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3400951
845,-0.4490829073213028,0.9461355532075346,1.0953685019088661,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.14817487
4672,-0.4490829073213028,-1.0415189204855664,-0.1955017113829746,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.46683887
573,-0.4490829073213028,1.5546012084197083,0.5657807220968288,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.080078594
5013,-0.4490829073213028,-1.2849051825704358,-1.353974979721806,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.26700056
61,-0.4490829073213028,-0.9198257894431316,-0.3609978925742362,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25230592
5099,-0.4490829073213028,-1.244340805556291,-0.5264940737654978,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.45353886
1922,-0.4490829073213028,-0.43305326527339266,1.194666210623623,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.56007755
2176,-0.4490829073213028,-0.06797387214608837,1.1284677381471184,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33917353
372,-0.4490829073213028,-1.2849051825704358,0.16858988723780097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6581222
1215,-0.4490829073213028,-0.3924888882592477,0.6319791945733335,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.40625575
5426,2.2267603235331674,-0.7981326584006969,0.8305746120028474,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.60789204
2960,2.2267603235331674,-0.6764395273582622,0.9629715569558568,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4901757
27,-0.4490829073213028,-0.14910262617437822,-0.16240247514472228,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1141769
383,2.2267603235331674,0.5404917830660854,1.29396391933838,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2516814
5875,-0.4490829073213028,-0.43305326527339266,-1.3208757434835536,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06253627
